V,x_axis,metric,run,size,seed,x,y,y_hat,residual_linear,residual_log
1024,params,best_val_mse,runs\sweep_gpu_census50k\M_V1024_B4x8_S30000_seed7,M,7,19440641.0,1.1016968525886535,1.2315126241295815,-0.12981577154092805,-0.11139160505273833
1024,params,best_val_mse,runs\sweep_gpu_long_M\M_V1024_B4x8_S40000_seed7,M,7,19440641.0,1.1652829551696777,1.2315126241295815,-0.06622966895990379,-0.055279252043586496
1024,params,best_val_mse,runs\sweep_smoke\S_V1024_B4x4_S30_seed1,S,1,924673.0,1.906025616645813,1.2673308165107866,0.6386948001350263,0.4081072756685358
1024,params,best_val_mse,runs\sweep_gpu_census50k\S_V1024_B4x8_S30000_seed7,S,7,924673.0,1.1285268701553344,1.2673308165107866,-0.13880394635545223,-0.11599984197882905
1024,params,best_val_mse,runs\sweep_gpu_long_S\S_V1024_B4x8_S60000_seed7,S,7,924673.0,1.1402008805274964,1.2673308165107866,-0.12712993598329025,-0.10570851160410513
1024,params,best_val_mse,runs\sweep_gpu_scaling\S_V1024_B8x8_S400_seed7,S,7,924673.0,1.5877491254655143,1.2673308165107866,0.32041830895472767,0.22540439942346244
1024,params,best_val_mse,runs\sweep_gpu_scaling_XL\XL_V1024_B2x16_S20000_seed7,XL,7,341557249.0,1.2585944329500198,1.1987308649483253,0.05986356800169457,0.04873218430849793
1024,params,best_val_mse,runs\sweep_smoke\XS_V1024_B4x4_S30_seed1,XS,1,165761.0,1.8712498393058776,1.2880035119143358,0.5832463273915418,0.37351321655640524
1024,params,best_val_mse,runs\sweep_20250821_212937\XS_seed1,XS,1,165761.0,1.0959216910998026,1.2880035119143358,-0.19208182081453318,-0.16149761807329663
1024,params,best_val_mse,runs\sweep_gpu_scaling_XSSM\XS_V1024_B4x8_S20000_seed7,XS,7,165761.0,1.1875597891807557,1.2880035119143358,-0.10044372273358015,-0.08119274987701369
1024,params,best_val_mse,runs\sweep_gpu_census50k\XS_V1024_B4x8_S30000_seed7,XS,7,165761.0,1.1605063696861266,1.2880035119143358,-0.12749714222820918,-0.1042369188598257
1024,params,best_val_mse,runs\sweep_gpu_scaling\XS_V1024_B8x8_S400_seed7,XS,7,165761.0,1.5535826342446464,1.2880035119143358,0.26557912233031056,0.18747028642054103
1024,params,best_val_mse,runs\bench_cpu_xs_300,XS,7,165761.0,1.195007063448429,1.2880035119143358,-0.09299644846590671,-0.07494125811849908
1024,params,best_val_mse,runs\demo_xs,XS,7,165761.0,1.1246779441833497,1.2880035119143358,-0.16332556773098617,-0.1355966314842529
1024,params,best_val_mse,runs\smoke_xs,XS,7,165761.0,1.5281817049980164,1.2880035119143358,0.2401781930836806,0.17098524623778555
1024,params,best_val_mse,runs\cpu_parallel_xs_D10kV1024_S3000_seed11,XS,11,165761.0,1.080743432044983,1.2880035119143358,-0.2072600798693529,-0.17544418699241124
1024,params,best_val_mse,runs\cpu_seq_small_D10kV1024\XS_B32_S3000_seed12,XS,12,165761.0,1.077970676124096,1.2880035119143358,-0.2100328357902399,-0.17801308431441668
1024,params,best_val_mse,runs\cpu_seq_small_D10kV1024\XS_B32_S3000_seed13,XS,13,165761.0,1.0983517430722713,1.2880035119143358,-0.18965176884206447,-0.159282713651568
1024,params,best_val_mse,runs\cpu_seq_small_D10kV1024\XXS_B64_S3000_seed21,XXS,21,1045.0,1.41970993578434,1.3509200911073733,0.06878984467696658,0.04966667090294624
512,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_tinyL\L_V512_B4x8_S60000_seed7,L,7,983040000.0,1.610932750962496,1.6475972844545237,-0.036664533492027696,-0.08294566164345907
512,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_tinyL\L_V512_B4x8_S60000_seed8,L,8,983040000.0,1.6136703308272744,1.6475972844545237,-0.03392695362724929,-0.07650913164578144
512,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_tinyL\L_V512_B4x8_S60000_seed9,L,9,983040000.0,1.616707535322823,1.6475972844545237,-0.030889749131700617,-0.06941627790164573
512,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_seeds\M_V512_B4x8_S60000_seed7,M,7,983040000.0,1.6093130928242123,1.6475972844545237,-0.03828419163031138,-0.08677335986761758
512,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_seeds\M_V512_B4x8_S60000_seed8,M,8,983040000.0,1.6092339915796376,1.6475972844545237,-0.038363292874886046,-0.08696067366274329
512,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_seeds\M_V512_B4x8_S60000_seed9,M,9,983040000.0,1.607588338004407,1.6475972844545237,-0.04000894645011677,-0.09086560325800608
512,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_seeds\S_V512_B4x8_S60000_seed7,S,7,983040000.0,1.6176053964909223,1.6475972844545237,-0.029991887963601416,-0.06732908029348905
512,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_seeds\S_V512_B4x8_S60000_seed8,S,8,983040000.0,1.6124202072385516,1.6475972844545237,-0.035177077215972075,-0.07944325254734597
